TIME,GEO,Value
2012,MK,7 005
2013,MK,6 801
2014,MK,6 729
2005,AL,5 163
2006,AL,3 477
2007,AL,3 670
2008,AL,4 618
2009,AL,5 377
2010,AL,5 673
2011,AL,5 657
2012,AL,5 760
2013,AL,6 894
2014,AL,6 523
2005,RS,25 663
2006,RS,26 253
2007,RS,26 519
2008,RS,27 258
2009,RS,26 810
2010,RS,27 569
2011,RS,27 991
2012,RS,27 167
2013,RS,26 903
2014,RS,26 158
2005,TR,128 641
2006,TR,141 400
2007,TR,152 791
2008,TR,159 632
2009,TR,154 928
2010,TR,170 014
2011,TR,183 993
2012,TR,192 896
2013,TR,196 168
2014,TR,205 442
2005,BA,7 734
2006,BA,7 767
2007,BA,7 754
2008,BA,9 984
2009,BA,9 463
2010,BA,10 347
2011,BA,10 788
2012,BA,11 097
2013,BA,10 933
2014,BA,10 587
2005,XK,3 180
2006,XK,3 302
2007,XK,3 601
2008,XK,4 080
2009,XK,3 921
2010,XK,4 104
2011,XK,4 587
2012,XK,4 472
2013,XK,4 645
2014,XK,4 674
2005,MD,6 722
2006,MD,6 985
2007,MD,6 374
2008,MD,6 552
2009,MD,5 621
2010,MD,5 560
2011,MD,4 681
2012,MD,4 842
2013,MD,4 496
2014,MD,3 648
2005,UA,123 104
2006,UA,129 645
2007,UA,133 929
2008,UA,135 025
2009,UA,119 309
2010,UA,134 025
2011,UA,139 800
2012,UA,137 668
2013,UA,137 531
2014,UA,128 387
