"","Codigos","Anno","nombrePais","ratio","PIB","ENERGIA","RENOVABLE","poblacion","ren.por.habitante","ren.por.PIB"
"65","EE","2007","Estonia",1.5,16246.4,6795,101.92,1342920,0.15,0.4
"66","EE","2008","Estonia",2.1,16517.3,7004,147.08,1338440,0.22,0.56
"67","EE","2009","Estonia",6.1,14145.9,6650,405.65,1335740,0.6,1.82
"68","EE","2010","Estonia",10.4,14716.5,6908,718.43,1333290,1.07,3.1
"69","EE","2011","Estonia",12.3,16667.6,6627,815.12,1329660,1.21,3.1
"70","EE","2012","Estonia",15.8,17934.9,6978,1102.52,1325217,1.65,3.9
"71","EE","2013","Estonia",13,18890.1,6820,886.6,1320174,1.33,2.98
"72","EE","2014","Estonia",14.6,19758.3,6906,1008.28,1315819,1.52,3.24
"73","ES","2006","España",20,1007974,246125,49225,44009971,2.21,3.1
"74","ES","2007","España",21.7,1080807,250785,54420.35,44784666,2.4,3.19
"75","ES","2008","España",23.7,1116207,255094,60457.28,45668939,2.62,3.44
"76","ES","2009","España",27.8,1079034,239778,66658.28,46239273,2.85,3.92
"77","ES","2010","España",29.8,1080913,244802,72951,46486619,3.1,4.28
"78","ES","2011","España",31.6,1070413,243509,76948.84,46667174,3.26,4.56
"79","ES","2012","España",33.5,1039758,240248,80483.08,46818219,3.4,4.91
"80","ES","2013","España",36.7,1025634,230087,84441.93,46727890,3.58,5.22
"81","ES","2014","España",37.8,1037025,226897,85767.07,46512199,3.65,5.25
"82","FI","2006","Finlandia",26.4,172614,86032,22712.45,5255580,8.55,8.35
"83","FI","2007","Finlandia",25.5,186584,86082,21950.91,5276955,8.23,7.46
"84","FI","2008","Finlandia",27.3,193711,82557,22538.06,5300484,8.41,7.38
"85","FI","2009","Finlandia",27.3,181029,77084,21043.93,5326314,7.82,7.37
"86","FI","2010","Finlandia",27.7,187100,83499,23129.22,5351427,8.55,7.84
"87","FI","2011","Finlandia",29.4,196869,80107,23551.46,5375276,8.67,7.59
"88","FI","2012","Finlandia",29.5,199793,80717,23811.51,5401267,8.72,7.56
"89","FI","2013","Finlandia",30.9,203338,79940,24701.46,5426674,9.01,7.71
"90","FI","2014","Finlandia",31.4,205364,79137,24849.02,5451270,9.02,7.68
