"Codigos","Anno","nombrePais","ratio","PIB","ratio.por.PIB","poblacion","ratio.por.poblacion","PIB.por.hab","ratio.PIB.por.hab"
"EE","2012","Estonia",15.8,17934.9,8.81,1325217,119.23,13530,11.68
"EE","2013","Estonia",13,18890.1,6.88,1320174,98.47,14310,9.08
"EE","2014","Estonia",14.6,19758.3,7.39,1315819,110.96,15020,9.72
"ES","2006","España",20,1007974,0.2,44009971,4.54,22900,8.73
"ES","2007","España",21.7,1080807,0.2,44784666,4.85,24130,8.99
"ES","2008","España",23.7,1116207,0.21,45668939,5.19,24440,9.7
"ES","2009","España",27.8,1079034,0.26,46239273,6.01,23340,11.91
"ES","2010","España",29.8,1080913,0.28,46486619,6.41,23250,12.82
"ES","2011","España",31.6,1070413,0.3,46667174,6.77,22940,13.78
"ES","2012","España",33.5,1039758,0.32,46818219,7.16,22210,15.08
"ES","2013","España",36.7,1025634,0.36,46727890,7.85,21950,16.72
"ES","2014","España",37.8,1037025,0.36,46512199,8.13,22300,16.95
"FI","2006","Finlandia",26.4,172614,1.53,5255580,50.23,32840,8.04
"FI","2007","Finlandia",25.5,186584,1.37,5276955,48.32,35360,7.21
"FI","2008","Finlandia",27.3,193711,1.41,5300484,51.5,36550,7.47
"FI","2009","Finlandia",27.3,181029,1.51,5326314,51.25,33990,8.03
"FI","2010","Finlandia",27.7,187100,1.48,5351427,51.76,34960,7.92
"FI","2011","Finlandia",29.4,196869,1.49,5375276,54.69,36620,8.03
"FI","2012","Finlandia",29.5,199793,1.48,5401267,54.62,36990,7.98
"FI","2013","Finlandia",30.9,203338,1.52,5426674,56.94,37470,8.25
"FI","2014","Finlandia",31.4,205364,1.53,5451270,57.6,37670,8.34
"FR","2006","Francia",14.1,1853267,0.08,63229635,2.23,29310,4.81
"FR","2007","Francia",14.3,1945670,0.07,63645065,2.25,30570,4.68
"FR","2008","Francia",14.4,1995850,0.07,64007193,2.25,31180,4.62
"FR","2009","Francia",15.1,1939017,0.08,64350226,2.35,30130,5.01
"FR","2010","Francia",14.8,1998481,0.07,64658856,2.29,30910,4.79
"FR","2011","Francia",16.3,2059284,0.08,64978721,2.51,31690,5.14
"FR","2012","Francia",16.4,2086929,0.08,65276983,2.51,31970,5.13
"FR","2013","Francia",16.8,2115256,0.08,65600350,2.56,32240,5.21
"FR","2014","Francia",18.3,2139964,0.09,65889148,2.78,32480,5.63
"GB","2006","Reino Unido",4.5,2135220.7,0.02,60620361,0.74,35220,1.28
"GB","2007","Reino Unido",4.8,2237031.3,0.02,61073279,0.79,36630,1.31
"GB","2008","Reino Unido",5.5,1964449.7,0.03,61571647,0.89,31910,1.72
"GB","2009","Reino Unido",6.7,1705456,0.04,62042343,1.08,27490,2.44
"GB","2010","Reino Unido",7.4,1833021.3,0.04,62510197,1.18,29320,2.52
"GB","2011","Reino Unido",8.8,1876151.1,0.05,63022532,1.4,29770,2.96
"GB","2012","Reino Unido",10.7,2065736.8,0.05,63495303,1.69,32530,3.29
"GB","2013","Reino Unido",13.8,2048328,0.07,63905297,2.16,32050,4.31
"GB","2014","Reino Unido",17.8,2260804.8,0.08,64351155,2.77,35130,5.07
"GR","2006","Grecia",8.9,217861.6,0.41,11004716,8.09,19800,4.49
"GR","2007","Grecia",9.3,232694.6,0.4,11036008,8.43,21090,4.41
"GR","2008","Grecia",9.6,241990.4,0.4,11060937,8.68,21880,4.39
"GR","2009","Grecia",11,237534.2,0.46,11094745,9.91,21410,5.14
"GR","2010","Grecia",12.3,226031.4,0.54,11119289,11.06,20330,6.05
"GR","2011","Grecia",13.8,207028.9,0.67,11123392,12.41,18610,7.42
"GR","2012","Grecia",16.4,191203.9,0.86,11086406,14.79,17250,9.51
"GR","2013","Grecia",21.2,180654.3,1.17,11003615,19.27,16420,12.91
"GR","2014","Grecia",21.9,177940.6,1.23,10926807,20.04,16280,13.45
"HR","2006","Croacia",35.2,40197.8,8.76,4312487,81.62,9320,37.77
"HR","2007","Croacia",34,43925.8,7.74,4313530,78.82,10180,33.4
"HR","2008","Croacia",33.8,48129.8,7.02,4311967,78.39,11160,30.29
"HR","2009","Croacia",35.9,45090.7,7.96,4309796,83.3,10460,34.32
"HR","2010","Croacia",37.6,45004.3,8.35,4302847,87.38,10460,35.95
"HR","2011","Croacia",37.6,44708.6,8.41,4289857,87.65,10420,36.08
"HR","2012","Croacia",38.8,43933.7,8.83,4275984,90.74,10270,37.78
"HR","2013","Croacia",42.2,43487.1,9.7,4262140,99.01,10200,41.37
"HR","2014","Croacia",45.3,42977.8,10.54,4246809,106.67,10120,44.76
"HU","2006","Hungría",3.5,91398.7,0.38,10076581,3.47,9070,3.86
"HU","2007","Hungría",4.2,101692.4,0.41,10066158,4.17,10100,4.16
"HU","2008","Hungría",5.3,107637.3,0.49,10045401,5.28,10720,4.94
"HU","2009","Hungría",7,93808.8,0.75,10030975,6.98,9350,7.49
"HU","2010","Hungría",7.1,98322.6,0.72,10014324,7.09,9820,7.23
"HU","2011","Hungría",6.4,100820.1,0.63,9985722,6.41,10100,6.34
"HU","2012","Hungría",6.1,99085.6,0.62,9931925,6.14,9980,6.11
"HU","2013","Hungría",6.6,101483.3,0.65,9908798,6.66,10240,6.45
"HU","2014","Hungría",7.3,104953.3,0.7,9877365,7.39,10630,6.87
"IE","2006","Irlanda",8.7,185060.7,0.47,4208156,20.67,43980,1.98
"IE","2007","Irlanda",10.4,197293.4,0.53,4340118,23.96,45460,2.29
"IE","2008","Irlanda",11.2,187687.2,0.6,4457765,25.12,42100,2.66
"IE","2009","Irlanda",13.4,169704.3,0.79,4521322,29.64,37530,3.57
"IE","2010","Irlanda",14.5,167124.3,0.87,4549428,31.87,36740,3.95
"IE","2011","Irlanda",17.2,173070.2,0.99,4570881,37.63,37860,4.54
"IE","2012","Irlanda",19.5,175753.6,1.11,4582707,42.55,38350,5.08
"IE","2013","Irlanda",20.8,180209.3,1.15,4591087,45.31,39250,5.3
"IE","2014","Irlanda",22.7,193159.6,1.18,4605501,49.29,41940,5.41
"IS","2006","Islandia",93.5,13629.2,68.6,299891,3117.8,45450,20.57
"IS","2007","Islandia",113.7,15566,73.04,307672,3695.49,50590,22.47
"IS","2008","Islandia",90.8,10786.6,84.18,315459,2878.35,34190,26.56
"IS","2009","Islandia",92.9,9227.6,100.68,319368,2908.87,28890,32.16
"IS","2010","Islandia",92.4,10008.6,92.32,317630,2909.05,31510,29.32
"IS","2011","Islandia",93.9,10541.4,89.08,318452,2948.64,33100,28.37
"IS","2012","Islandia",95.4,11065.1,86.22,319575,2985.21,34620,27.56
"IS","2013","Islandia",96.7,11647,83.03,321857,3004.44,36190,26.72
"IS","2014","Islandia",97.1,12953.8,74.96,325671,2981.54,39780,24.41
"IT","2006","Italia",15.9,1548473.4,0.1,58064214,2.74,26670,5.96
"IT","2007","Italia",16,1609550.8,0.1,58223744,2.75,27640,5.79
"IT","2008","Italia",16.6,1632150.8,0.1,58652875,2.83,27830,5.96
